,Gene name,Gene type,Gene description
21,KIR2DL3,protein_coding,"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]"
22,PTCHD3,protein_coding,patched domain containing 3 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:24776]
23,KIR3DP1,protein_coding,"killer cell immunoglobulin like receptor, three Ig domains pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:16343]"
24,KIR2DL4,protein_coding,"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6332]"
25,KIR2DS2,protein_coding,"killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6334]"
26,OPRL1,protein_coding,opioid related nociceptin receptor 1 [Source:HGNC Symbol;Acc:HGNC:8155]
27,FCAR,protein_coding,Fc alpha receptor [Source:HGNC Symbol;Acc:HGNC:3608]
28,NPBWR2,protein_coding,neuropeptides B and W receptor 2 [Source:HGNC Symbol;Acc:HGNC:4530]
29,KIR3DS1,protein_coding,"killer cell immunoglobulin like receptor, three Ig domains and short cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6340]"
30,MYT1,protein_coding,myelin transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:7622]
31,PPIAL4F,protein_coding,peptidylprolyl isomerase A like 4F [Source:HGNC Symbol;Acc:HGNC:33999]
32,KIR2DS4,protein_coding,"killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6336]"
33,KIR2DL1,protein_coding,"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]"
34,GATAD2B,protein_coding,GATA zinc finger domain containing 2B [Source:HGNC Symbol;Acc:HGNC:30778]
35,NCR1,protein_coding,natural cytotoxicity triggering receptor 1 [Source:HGNC Symbol;Acc:HGNC:6731]
36,KIR2DS5,protein_coding,"killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5 [Source:HGNC Symbol;Acc:HGNC:6337]"
37,KIR2DL2,protein_coding,"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6330]"
38,HS3ST6,protein_coding,heparan sulfate-glucosamine 3-sulfotransferase 6 [Source:HGNC Symbol;Acc:HGNC:14178]
39,KIR2DL5A,protein_coding,"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A [Source:HGNC Symbol;Acc:HGNC:16345]"
40,SLC27A3,protein_coding,solute carrier family 27 member 3 [Source:HGNC Symbol;Acc:HGNC:10997]
41,KIR2DS3,protein_coding,"killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6335]"
42,ADI1,protein_coding,acireductone dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:30576]
43,TRAPPC12,protein_coding,trafficking protein particle complex subunit 12 [Source:HGNC Symbol;Acc:HGNC:24284]
44,OR9G4,protein_coding,olfactory receptor family 9 subfamily G member 4 [Source:HGNC Symbol;Acc:HGNC:15322]
45,OR5G3,protein_coding,olfactory receptor family 5 subfamily G member 3 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:15287]
46,,protein_coding,novel transcript
47,OR9G1,protein_coding,olfactory receptor family 9 subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:15319]
48,OR9G9,protein_coding,olfactory receptor family 9 subfamily G member 9 [Source:HGNC Symbol;Acc:HGNC:31940]
49,KIR2DL5B,protein_coding,"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5B [Source:HGNC Symbol;Acc:HGNC:16346]"
50,DLG5,protein_coding,discs large MAGUK scaffold protein 5 [Source:HGNC Symbol;Acc:HGNC:2904]
51,KIR2DS1,protein_coding,"killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6333]"
52,ZNF43,protein_coding,zinc finger protein 43 [Source:HGNC Symbol;Acc:HGNC:13109]
53,DHX36,protein_coding,DEAH-box helicase 36 [Source:HGNC Symbol;Acc:HGNC:14410]
54,ZNF100,protein_coding,zinc finger protein 100 [Source:HGNC Symbol;Acc:HGNC:12880]
55,PIWIL1,protein_coding,piwi like RNA-mediated gene silencing 1 [Source:HGNC Symbol;Acc:HGNC:9007]
56,ZNF430,protein_coding,zinc finger protein 430 [Source:HGNC Symbol;Acc:HGNC:20808]
57,ARHGEF26,protein_coding,Rho guanine nucleotide exchange factor 26 [Source:HGNC Symbol;Acc:HGNC:24490]
58,ZNF85,protein_coding,zinc finger protein 85 [Source:HGNC Symbol;Acc:HGNC:13160]
59,KRTAP9-9,protein_coding,keratin associated protein 9-9 [Source:HGNC Symbol;Acc:HGNC:16773]
60,KRTAP9-2,protein_coding,keratin associated protein 9-2 [Source:HGNC Symbol;Acc:HGNC:16926]
61,KRTAP9-4,protein_coding,keratin associated protein 9-4 [Source:HGNC Symbol;Acc:HGNC:18902]
62,KRTAP9-3,protein_coding,keratin associated protein 9-3 [Source:HGNC Symbol;Acc:HGNC:16927]
63,,protein_coding,novel keratin associated protein 9 family member
64,KRTAP29-1,protein_coding,keratin associated like protein 29-1 [Source:HGNC Symbol;Acc:HGNC:34211]
65,ZNF66,protein_coding,zinc finger protein 66 [Source:HGNC Symbol;Acc:HGNC:13135]
66,TPO,protein_coding,thyroid peroxidase [Source:HGNC Symbol;Acc:HGNC:12015]
67,PRODH,protein_coding,proline dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:9453]
68,DNAH10,protein_coding,dynein axonemal heavy chain 10 [Source:HGNC Symbol;Acc:HGNC:2941]
69,PROP1,protein_coding,PROP paired-like homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9455]
70,KRTAP9-6,protein_coding,keratin associated protein 9-6 [Source:HGNC Symbol;Acc:HGNC:18914]
71,KRTAP9-7,protein_coding,keratin associated protein 9-7 [Source:HGNC Symbol;Acc:HGNC:18915]
72,ERICH1,protein_coding,glutamate rich 1 [Source:HGNC Symbol;Acc:HGNC:27234]
73,RPS17,protein_coding,ribosomal protein S17 [Source:HGNC Symbol;Acc:HGNC:10397]
74,FTCD,protein_coding,formimidoyltransferase cyclodeaminase [Source:HGNC Symbol;Acc:HGNC:3974]
75,,protein_coding,novel killer cell immunoglobulin-like receptor protein
76,CTDP1,protein_coding,CTD phosphatase subunit 1 [Source:HGNC Symbol;Acc:HGNC:2498]
77,CCDC92,protein_coding,coiled-coil domain containing 92 [Source:HGNC Symbol;Acc:HGNC:29563]
78,CRIM1,protein_coding,cysteine rich transmembrane BMP regulator 1 [Source:HGNC Symbol;Acc:HGNC:2359]
79,CPEB1,protein_coding,cytoplasmic polyadenylation element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:21744]
80,LSS,protein_coding,lanosterol synthase [Source:HGNC Symbol;Acc:HGNC:6708]
81,GARRE1,protein_coding,granule associated Rac and RHOG effector 1 [Source:HGNC Symbol;Acc:HGNC:29016]
82,PRB1,protein_coding,proline rich protein BstNI subfamily 1 [Source:HGNC Symbol;Acc:HGNC:9337]
83,SKA1,protein_coding,spindle and kinetochore associated complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:28109]
84,DSEL,protein_coding,dermatan sulfate epimerase like [Source:HGNC Symbol;Acc:HGNC:18144]
85,LSM14A,protein_coding,LSM14A mRNA processing body assembly factor [Source:HGNC Symbol;Acc:HGNC:24489]
86,CYFIP1,protein_coding,cytoplasmic FMR1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:13759]
87,SEPTIN9,protein_coding,septin 9 [Source:HGNC Symbol;Acc:HGNC:7323]
88,TUBGCP5,protein_coding,tubulin gamma complex associated protein 5 [Source:HGNC Symbol;Acc:HGNC:18600]
89,SPATC1L,protein_coding,spermatogenesis and centriole associated 1 like [Source:HGNC Symbol;Acc:HGNC:1298]
90,GOLGA6L1,protein_coding,golgin A6 family like 1 [Source:HGNC Symbol;Acc:HGNC:37444]
91,APOBEC3A,protein_coding,apolipoprotein B mRNA editing enzyme catalytic subunit 3A [Source:HGNC Symbol;Acc:HGNC:17343]
92,CNTNAP2,protein_coding,contactin associated protein 2 [Source:HGNC Symbol;Acc:HGNC:13830]
93,SLC45A2,protein_coding,solute carrier family 45 member 2 [Source:HGNC Symbol;Acc:HGNC:16472]
94,SMN2,protein_coding,"survival of motor neuron 2, centromeric [Source:HGNC Symbol;Acc:HGNC:11118]"
95,RXFP3,protein_coding,relaxin family peptide receptor 3 [Source:HGNC Symbol;Acc:HGNC:24883]
96,ADAMTS12,protein_coding,ADAM metallopeptidase with thrombospondin type 1 motif 12 [Source:HGNC Symbol;Acc:HGNC:14605]
97,DLGAP2,protein_coding,DLG associated protein 2 [Source:HGNC Symbol;Acc:HGNC:2906]
98,AP2A2,protein_coding,adaptor related protein complex 2 subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:562]
99,ABCB11,protein_coding,ATP binding cassette subfamily B member 11 [Source:HGNC Symbol;Acc:HGNC:42]
100,G6PC2,protein_coding,glucose-6-phosphatase catalytic subunit 2 [Source:HGNC Symbol;Acc:HGNC:28906]
101,AADACL2,protein_coding,arylacetamide deacetylase like 2 [Source:HGNC Symbol;Acc:HGNC:24427]
102,SPC25,protein_coding,SPC25 component of NDC80 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:24031]
103,METRNL,protein_coding,"meteorin like, glial cell differentiation regulator [Source:HGNC Symbol;Acc:HGNC:27584]"
104,GOLGA6L9,protein_coding,golgin A6 family like 9 [Source:HGNC Symbol;Acc:HGNC:37229]
105,,protein_coding,"novel protein identical to killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 3"
106,GART,protein_coding,"phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase [Source:HGNC Symbol;Acc:HGNC:4163]"
107,DECR2,protein_coding,"2,4-dienoyl-CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:2754]"
108,TBCD,protein_coding,tubulin folding cofactor D [Source:HGNC Symbol;Acc:HGNC:11581]
109,NOSTRIN,protein_coding,nitric oxide synthase trafficking [Source:HGNC Symbol;Acc:HGNC:20203]
110,,protein_coding,novel protein
111,MUC6,protein_coding,"mucin 6, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7517]"
112,GTF2H2,protein_coding,general transcription factor IIH subunit 2 [Source:HGNC Symbol;Acc:HGNC:4656]
113,GOLGA6L10,protein_coding,golgin A6 family like 10 [Source:NCBI gene (formerly Entrezgene);Acc:647042]
114,DNAJC28,protein_coding,DnaJ heat shock protein family (Hsp40) member C28 [Source:HGNC Symbol;Acc:HGNC:1297]
115,GOLGA6L10,protein_coding,golgin A6 family like 10 [Source:HGNC Symbol;Acc:HGNC:37228]
116,IFNGR2,protein_coding,interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]
117,LRRC56,protein_coding,leucine rich repeat containing 56 [Source:HGNC Symbol;Acc:HGNC:25430]
118,,protein_coding,novel killer cell immunoglobulin-like receptor protein identical to KIR2DS3
119,KRT20,protein_coding,keratin 20 [Source:HGNC Symbol;Acc:HGNC:20412]
120,PHRF1,protein_coding,PHD and ring finger domains 1 [Source:HGNC Symbol;Acc:HGNC:24351]
121,GOLGA6L22,protein_coding,golgin A6 family like 22 [Source:HGNC Symbol;Acc:HGNC:50289]
122,RAB11FIP3,protein_coding,RAB11 family interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:17224]
123,KRTAP3-1,protein_coding,keratin associated protein 3-1 [Source:HGNC Symbol;Acc:HGNC:16778]
124,KRTAP5-6,protein_coding,keratin associated protein 5-6 [Source:HGNC Symbol;Acc:HGNC:23600]
125,KRTAP3-2,protein_coding,keratin associated protein 3-2 [Source:HGNC Symbol;Acc:HGNC:16779]
126,KRTAP5-1,protein_coding,keratin associated protein 5-1 [Source:HGNC Symbol;Acc:HGNC:23596]
127,KRTAP5-4,protein_coding,keratin associated protein 5-4 [Source:HGNC Symbol;Acc:HGNC:23599]
128,KRTAP4-9,protein_coding,keratin associated protein 4-9 [Source:HGNC Symbol;Acc:HGNC:18910]
129,TMEM50B,protein_coding,transmembrane protein 50B [Source:HGNC Symbol;Acc:HGNC:1280]
130,KRTAP2-4,protein_coding,keratin associated protein 2-4 [Source:HGNC Symbol;Acc:HGNC:18891]
131,B3GNTL1,protein_coding,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase like 1 [Source:HGNC Symbol;Acc:HGNC:21727]"
132,KRTAP5-5,protein_coding,keratin associated protein 5-5 [Source:HGNC Symbol;Acc:HGNC:23601]
133,KRT23,protein_coding,keratin 23 [Source:HGNC Symbol;Acc:HGNC:6438]
134,DUSP8,protein_coding,dual specificity phosphatase 8 [Source:HGNC Symbol;Acc:HGNC:3074]
135,KIF26B,protein_coding,kinesin family member 26B [Source:HGNC Symbol;Acc:HGNC:25484]
136,IFITM10,protein_coding,interferon induced transmembrane protein 10 [Source:HGNC Symbol;Acc:HGNC:40022]
137,KRTAP5-3,protein_coding,keratin associated protein 5-3 [Source:HGNC Symbol;Acc:HGNC:23598]
138,KRTAP5-2,protein_coding,keratin associated protein 5-2 [Source:HGNC Symbol;Acc:HGNC:23597]
139,KRT40,protein_coding,keratin 40 [Source:HGNC Symbol;Acc:HGNC:26707]
140,PAXBP1,protein_coding,PAX3 and PAX7 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:13579]
141,KRTAP1-1,protein_coding,keratin associated protein 1-1 [Source:HGNC Symbol;Acc:HGNC:16772]
142,,protein_coding,novel keratin associated protein 2 family member
143,C21orf62,protein_coding,chromosome 21 open reading frame 62 [Source:HGNC Symbol;Acc:HGNC:1305]
144,KRTAP4-11,protein_coding,keratin associated protein 4-11 [Source:HGNC Symbol;Acc:HGNC:18911]
145,KRTAP1-3,protein_coding,keratin associated protein 1-3 [Source:HGNC Symbol;Acc:HGNC:16771]
146,KRTAP4-16,protein_coding,keratin associated protein 4-16 [Source:HGNC Symbol;Acc:HGNC:18921]
147,KRT12,protein_coding,keratin 12 [Source:HGNC Symbol;Acc:HGNC:6414]
148,KCNIP4,protein_coding,potassium voltage-gated channel interacting protein 4 [Source:HGNC Symbol;Acc:HGNC:30083]
149,KRTAP1-5,protein_coding,keratin associated protein 1-5 [Source:HGNC Symbol;Acc:HGNC:16777]
150,KRT39,protein_coding,keratin 39 [Source:HGNC Symbol;Acc:HGNC:32971]
151,KRTAP2-1,protein_coding,keratin associated protein 2-1 [Source:HGNC Symbol;Acc:HGNC:16775]
152,MEGF11,protein_coding,multiple EGF like domains 11 [Source:HGNC Symbol;Acc:HGNC:29635]
153,KRTAP3-3,protein_coding,keratin associated protein 3-3 [Source:HGNC Symbol;Acc:HGNC:18890]
154,KRTAP2-3,protein_coding,keratin associated protein 2-3 [Source:HGNC Symbol;Acc:HGNC:18906]
155,KRTAP4-12,protein_coding,keratin associated protein 4-12 [Source:HGNC Symbol;Acc:HGNC:16776]
156,KRTAP1-4,protein_coding,keratin associated protein 1-4 [Source:HGNC Symbol;Acc:HGNC:18904]
157,,protein_coding,novel keratin associated protein 4 family member
158,KRTAP4-8,protein_coding,keratin associated protein 4-8 [Source:HGNC Symbol;Acc:HGNC:17230]
159,ABR,protein_coding,ABR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:81]
160,SERF1B,protein_coding,small EDRK-rich factor 1B [Source:HGNC Symbol;Acc:HGNC:10756]
161,LMNTD2,protein_coding,lamin tail domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28561]
162,GOLGA8F,protein_coding,golgin A8 family member F [Source:HGNC Symbol;Acc:HGNC:32378]
163,NAIP,protein_coding,NLR family apoptosis inhibitory protein [Source:HGNC Symbol;Acc:HGNC:7634]
164,NDUFA6,protein_coding,NADH:ubiquinone oxidoreductase subunit A6 [Source:HGNC Symbol;Acc:HGNC:7690]
165,TNFRSF14,protein_coding,TNF receptor superfamily member 14 [Source:HGNC Symbol;Acc:HGNC:11912]
166,MUC20,protein_coding,"mucin 20, cell surface associated [Source:HGNC Symbol;Acc:HGNC:23282]"
167,SMDT1,protein_coding,single-pass membrane protein with aspartate rich tail 1 [Source:HGNC Symbol;Acc:HGNC:25055]
168,RNH1,protein_coding,ribonuclease/angiogenin inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:10074]
169,GOLGA8G,protein_coding,golgin A8 family member G [Source:HGNC Symbol;Acc:HGNC:25328]
170,CYP2D6,protein_coding,cytochrome P450 family 2 subfamily D member 6 [Source:HGNC Symbol;Acc:HGNC:2625]
171,MUC4,protein_coding,"mucin 4, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7514]"
172,,protein_coding,ovostatin 2
173,MCCC2,protein_coding,methylcrotonyl-CoA carboxylase subunit 2 [Source:HGNC Symbol;Acc:HGNC:6937]
174,TCF20,protein_coding,transcription factor 20 [Source:HGNC Symbol;Acc:HGNC:11631]
175,SINHCAF,protein_coding,SIN3-HDAC complex associated factor [Source:HGNC Symbol;Acc:HGNC:30702]
176,KCNQ2,protein_coding,potassium voltage-gated channel subfamily Q member 2 [Source:HGNC Symbol;Acc:HGNC:6296]
177,HERC2,protein_coding,HECT and RLD domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:4868]
178,BDP1,protein_coding,"B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB [Source:HGNC Symbol;Acc:HGNC:13652]"
179,CYP2D7,protein_coding,cytochrome P450 family 2 subfamily D member 7 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:2624]
180,TTC34,protein_coding,tetratricopeptide repeat domain 34 [Source:HGNC Symbol;Acc:HGNC:34297]
181,MMEL1,protein_coding,membrane metalloendopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:14668]
182,DRD4,protein_coding,dopamine receptor D4 [Source:HGNC Symbol;Acc:HGNC:3025]
183,OR11A1,protein_coding,olfactory receptor family 11 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:8176]
184,DEAF1,protein_coding,DEAF1 transcription factor [Source:HGNC Symbol;Acc:HGNC:14677]
185,OR2B3,protein_coding,olfactory receptor family 2 subfamily B member 3 [Source:HGNC Symbol;Acc:HGNC:8238]
186,HLA-G,protein_coding,"major histocompatibility complex, class I, G [Source:HGNC Symbol;Acc:HGNC:4964]"
187,TIMM22,protein_coding,translocase of inner mitochondrial membrane 22 [Source:HGNC Symbol;Acc:HGNC:17317]
188,NXN,protein_coding,nucleoredoxin [Source:HGNC Symbol;Acc:HGNC:18008]
189,IRF7,protein_coding,interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]
190,OR2T6,protein_coding,olfactory receptor family 2 subfamily T member 6 [Source:HGNC Symbol;Acc:HGNC:15018]
191,OR2T2,protein_coding,olfactory receptor family 2 subfamily T member 2 [Source:HGNC Symbol;Acc:HGNC:14725]
192,OR2J3,protein_coding,olfactory receptor family 2 subfamily J member 3 [Source:HGNC Symbol;Acc:HGNC:8261]
193,OR2T4,protein_coding,olfactory receptor family 2 subfamily T member 4 [Source:HGNC Symbol;Acc:HGNC:15016]
194,OR5V1,protein_coding,olfactory receptor family 5 subfamily V member 1 [Source:HGNC Symbol;Acc:HGNC:13972]
195,OR2T7,protein_coding,olfactory receptor family 2 subfamily T member 7 [Source:HGNC Symbol;Acc:HGNC:15019]
196,OR2T1,protein_coding,olfactory receptor family 2 subfamily T member 1 [Source:HGNC Symbol;Acc:HGNC:8277]
197,OR2T3,protein_coding,olfactory receptor family 2 subfamily T member 3 [Source:HGNC Symbol;Acc:HGNC:14727]
198,LILRA4,protein_coding,leukocyte immunoglobulin like receptor A4 [Source:HGNC Symbol;Acc:HGNC:15503]
199,OR14J1,protein_coding,olfactory receptor family 14 subfamily J member 1 [Source:HGNC Symbol;Acc:HGNC:13971]
200,OR2T5,protein_coding,olfactory receptor family 2 subfamily T member 5 [Source:HGNC Symbol;Acc:HGNC:15017]
201,SMN1,protein_coding,"survival of motor neuron 1, telomeric [Source:HGNC Symbol;Acc:HGNC:11117]"
202,LY6G6F,protein_coding,lymphocyte antigen 6 family member G6F [Source:HGNC Symbol;Acc:HGNC:13933]
203,LAIR1,protein_coding,leukocyte associated immunoglobulin like receptor 1 [Source:HGNC Symbol;Acc:HGNC:6477]
204,PSORS1C1,protein_coding,psoriasis susceptibility 1 candidate 1 [Source:HGNC Symbol;Acc:HGNC:17202]
205,OR8U9,protein_coding,olfactory receptor family 8 subfamily U member 9 [Source:HGNC Symbol;Acc:HGNC:29166]
206,OR8J2,protein_coding,olfactory receptor family 8 subfamily J member 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:15311]
207,OR8U8,protein_coding,olfactory receptor family 8 subfamily U member 8 [Source:HGNC Symbol;Acc:HGNC:27538]
208,OR5T3,protein_coding,olfactory receptor family 5 subfamily T member 3 [Source:HGNC Symbol;Acc:HGNC:15297]
209,OR2W1,protein_coding,olfactory receptor family 2 subfamily W member 1 [Source:HGNC Symbol;Acc:HGNC:8281]
210,CLK2,protein_coding,CDC like kinase 2 [Source:HGNC Symbol;Acc:HGNC:2069]
211,OR5T2,protein_coding,olfactory receptor family 5 subfamily T member 2 [Source:HGNC Symbol;Acc:HGNC:15296]
212,PPP1R11,protein_coding,protein phosphatase 1 regulatory inhibitor subunit 11 [Source:HGNC Symbol;Acc:HGNC:9285]
213,OR8K3,protein_coding,olfactory receptor family 8 subfamily K member 3 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:15313]
214,OR8H1,protein_coding,olfactory receptor family 8 subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:14824]
215,SERF1A,protein_coding,small EDRK-rich factor 1A [Source:HGNC Symbol;Acc:HGNC:10755]
216,,protein_coding,"Novel priotein, similar to killer cell immunoglobulin-like receptor protein"
217,OR5T1,protein_coding,olfactory receptor family 5 subfamily T member 1 [Source:HGNC Symbol;Acc:HGNC:14821]
218,PANK4,protein_coding,pantothenate kinase 4 (inactive) [Source:HGNC Symbol;Acc:HGNC:19366]
219,OR8K1,protein_coding,olfactory receptor family 8 subfamily K member 1 [Source:HGNC Symbol;Acc:HGNC:14831]
220,OR8J1,protein_coding,olfactory receptor family 8 subfamily J member 1 [Source:HGNC Symbol;Acc:HGNC:14855]
221,NEU1,protein_coding,neuraminidase 1 [Source:HGNC Symbol;Acc:HGNC:7758]
222,HRAS,protein_coding,"HRas proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:5173]"
223,ZNF311,protein_coding,zinc finger protein 311 [Source:HGNC Symbol;Acc:HGNC:13847]
224,MAS1L,protein_coding,"MAS1 proto-oncogene like, G protein-coupled receptor [Source:HGNC Symbol;Acc:HGNC:13961]"
225,LTB,protein_coding,lymphotoxin beta [Source:HGNC Symbol;Acc:HGNC:6711]
226,OR2H2,protein_coding,olfactory receptor family 2 subfamily H member 2 [Source:HGNC Symbol;Acc:HGNC:8253]
227,LINC01556,protein_coding,long intergenic non-protein coding RNA 1556 [Source:HGNC Symbol;Acc:HGNC:21195]
228,ATAT1,protein_coding,alpha tubulin acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:21186]
229,APOM,protein_coding,apolipoprotein M [Source:HGNC Symbol;Acc:HGNC:13916]
230,KIR3DX1,protein_coding,"killer cell immunoglobulin like receptor, three Ig domains X1 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:25043]"
231,ZFP57,protein_coding,ZFP57 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:18791]
232,LILRB2,protein_coding,leukocyte immunoglobulin like receptor B2 [Source:HGNC Symbol;Acc:HGNC:6606]
233,RPS9,protein_coding,ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:10442]
234,GNL1,protein_coding,G protein nucleolar 1 (putative) [Source:HGNC Symbol;Acc:HGNC:4413]
235,PPP1R10,protein_coding,protein phosphatase 1 regulatory subunit 10 [Source:HGNC Symbol;Acc:HGNC:9284]
236,PKLR,protein_coding,pyruvate kinase L/R [Source:HGNC Symbol;Acc:HGNC:9020]
237,TRIM10,protein_coding,tripartite motif containing 10 [Source:HGNC Symbol;Acc:HGNC:10072]
238,PSMB9,protein_coding,proteasome 20S subunit beta 9 [Source:HGNC Symbol;Acc:HGNC:9546]
239,VSTM1,protein_coding,V-set and transmembrane domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29455]
240,MBOAT7,protein_coding,membrane bound O-acyltransferase domain containing 7 [Source:HGNC Symbol;Acc:HGNC:15505]
241,SNTB2,protein_coding,syntrophin beta 2 [Source:HGNC Symbol;Acc:HGNC:11169]
242,PLCH2,protein_coding,phospholipase C eta 2 [Source:HGNC Symbol;Acc:HGNC:29037]
243,UTP4,protein_coding,UTP4 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:1983]
